run_id,name,state,dataset,blackbox,strategy,seed,size_T,iterations,k_batch,candidate_pool_M,batch_size,epochs_sur,epochs_opt,surrogate_lr,lambda_penalty,reg_alpha,runtime_sec,gpu,gpu_mem_total,cuda_version,python_version,cpu_count,cpu_count_logical,git_commit,runtime_hms
8oiklpdh,main_strategies-seed0,failed,,,,0,64,500,,,256,4,10,,0.01,,42037.482060765,,,,,,,,0 days 11:40:37.482060765
yvgcs6h0,main_strategies_reg-seed0,finished,,,,0,64,50,,,256,4,3,,0.01,,22435.576297234,,,,,,,,0 days 06:13:55.576297234
0hfwuf3i,main_strategies_reg-seed1,crashed,,,,1,64,50,,,256,4,3,,0.01,,8431.141717001,,,,,,,,0 days 02:20:31.141717001
c5d96f5u,main_strategies_reg-seed3,finished,,,,3,64,50,,,256,4,3,,0.01,,33081.915741414,,,,,,,,0 days 09:11:21.915741414
3ivf6u5h,main_strategies_reg-seed4,finished,,,,4,64,50,,,256,4,3,,0.01,,27638.007116683,,,,,,,,0 days 07:40:38.007116683
rdzmuxie,main_strategies_reg-seed5,finished,,,,5,64,50,,,256,4,3,,0.01,,39553.959989228,,,,,,,,0 days 10:59:13.959989228
ueurm7ly,main_strategies_reg-seed6,finished,,,,6,64,50,,,256,4,3,,0.01,,25927.11671077,,,,,,,,0 days 07:12:07.116710770
nfgrg9ur,main_strategies_reg-seed7,finished,,,,7,64,50,,,256,4,3,,0.01,,27710.150527814,,,,,,,,0 days 07:41:50.150527814
4mdwrj55,main_strategies_reg-seed8,finished,,,,8,64,50,,,256,4,3,,0.01,,30733.84929229,,,,,,,,0 days 08:32:13.849292290
rrskfzto,main_strategies_reg-seed9,finished,,,,9,64,50,,,256,4,3,,0.01,,20836.511211958,,,,,,,,0 days 05:47:16.511211957
8vbg0pn7,main_strategies_reg-seed10,finished,,,,10,64,50,,,256,4,3,,0.01,,29850.843787064,,,,,,,,0 days 08:17:30.843787064
ab6jet7k,main_strategies_reg-seed11,finished,,,,11,64,50,,,256,4,3,,0.01,,22939.486120313,,,,,,,,0 days 06:22:19.486120313
8up2rlx9,main_strategies_reg-seed12,finished,,,,12,64,50,,,256,4,3,,0.01,,24954.830307024,,,,,,,,0 days 06:55:54.830307024
f2lxv9pf,main_strategies_reg-seed13,finished,,,,13,64,50,,,256,4,3,,0.01,,30316.536326626,,,,,,,,0 days 08:25:16.536326626
ohbaubu9,main_strategies_reg-seed14,finished,,,,14,64,50,,,256,4,3,,0.01,,38028.569357694,,,,,,,,0 days 10:33:48.569357694
4jx8n1yt,main_strategies_reg-seed15,finished,,,,15,64,50,,,256,4,3,,0.01,,38015.569101272,,,,,,,,0 days 10:33:35.569101272
gxiy5b6x,main_strategies_reg-seed16,finished,,,,16,64,50,,,256,4,3,,0.01,,20690.374026442,,,,,,,,0 days 05:44:50.374026442
05q5neks,main_strategies_reg-seed17,finished,,,,17,64,50,,,256,4,3,,0.01,,21616.107663016,,,,,,,,0 days 06:00:16.107663016
mktzmng5,main_strategies_reg-seed18,finished,,,,18,64,50,,,256,4,3,,0.01,,20014.447450209,,,,,,,,0 days 05:33:34.447450209
i85uxpxm,main_strategies_reg-seed19,finished,,,,19,64,50,,,256,4,3,,0.01,,9096.301695192,,,,,,,,0 days 02:31:36.301695192
3rsybe50,run-seed0,killed,,,bo,0,64,500,,1000.0,256,4,10,2e-05,0.01,,26676.373516093,,,,,,,,0 days 07:24:36.373516093
zxe2rvau,main_strategies_reg_bo-jigsaw-hatebert-bo-seed1,killed,jigsaw,hatebert,bo,1,8,100,,1000.0,256,4,3,2e-05,0.01,,49367.590111788,,,,,,,,0 days 13:42:47.590111788
ztvz67hs,main_strategies_reg_bo-jigsaw-hatebert-bo-seed1,finished,jigsaw,hatebert,bo,1,32,75,,1000.0,256,4,3,2e-05,0.01,,29668.184203026,,,,,,,,0 days 08:14:28.184203026
z9zs9wya,main_strategies_reg-seed20,crashed,,,,20,64,50,,,256,4,3,,0.01,,25316.487542306,,,,,,,,0 days 07:01:56.487542306
2t3vlunp,main_strategies_reg_bo-jigsaw-hatebert-bo-seed41,finished,jigsaw,hatebert,bo,41,32,75,,1000.0,256,4,3,2e-05,0.01,,12521.726586314,,,,,,,,0 days 03:28:41.726586314
dsxgb115,main_strategies_reg_bo-jigsaw-hatebert-bo-seed21,finished,jigsaw,hatebert,bo,21,32,75,,1000.0,256,4,3,2e-05,0.01,,19674.298820575,,,,,,,,0 days 05:27:54.298820575
nguzzdhy,main_strategies_reg_bo-jigsaw-hatebert-bo-seed42,finished,jigsaw,hatebert,bo,42,32,75,,1000.0,512,4,3,2e-05,0.01,,6548.823345192,,,,,,,,0 days 01:49:08.823345192
wnfi28hj,main_strategies_reg_bo-jigsaw-hatebert-bo-seed43,finished,jigsaw,hatebert,bo,43,32,75,,1000.0,512,4,3,2e-05,0.01,,5058.910254105,,,,,,,,0 days 01:24:18.910254105
3pyc69cw,main_strategies_reg_bo-jigsaw-hatebert-bo-seed2,killed,jigsaw,hatebert,bo,2,32,75,,1000.0,256,4,3,2e-05,0.01,,9812.291267614,,,,,,,,0 days 02:43:32.291267614
9t1tgvgr,main_strategies_reg_bo-jigsaw-hatebert-bo-seed44,finished,jigsaw,hatebert,bo,44,32,75,,1000.0,512,4,3,2e-05,0.01,,9439.299098061,,,,,,,,0 days 02:37:19.299098061
gvjc5ifk,main_strategies_reg_bo_bo_exploit-jigsaw-hatebert-bo-seed50,finished,jigsaw,hatebert,bo,50,32,75,8.0,1000.0,512,4,3,2e-05,0.01,0.5,5248.266335213,,,,,,,,0 days 01:27:28.266335213
dotehxqm,main_strategies_reg_bo_bo_reg1.0_T32_k8-jigsaw-hatebert-bo-seed50,finished,jigsaw,hatebert,bo,50,32,75,8.0,1000.0,1024,4,3,2e-05,0.01,1.0,3532.763865734,,,,,,,,0 days 00:58:52.763865734
yzo4angj,main_strategies_reg_bo-jigsaw-hatebert-bo-seed45,finished,jigsaw,hatebert,bo,45,32,75,,1000.0,512,4,3,2e-05,0.01,,6544.318323031,,,,,,,,0 days 01:49:04.318323031
03hoaqxu,main_strategies_reg_bo_bo_reg1.0_T32_k8-jigsaw-hatebert-bo-seed51,crashed,jigsaw,hatebert,bo,51,32,75,8.0,1000.0,1024,4,3,2e-05,0.01,1.0,1654.456149238,,,,,,,,0 days 00:27:34.456149238
luiqkxig,main_strategies_reg_bo_bo_exploit-jigsaw-hatebert-bo-seed51,finished,jigsaw,hatebert,bo,51,32,75,8.0,1000.0,512,4,3,2e-05,0.01,0.5,7626.867318039,,,,,,,,0 days 02:07:06.867318039
350r0bhx,main_strategies_reg_bo-jigsaw-hatebert-bo-seed46,finished,jigsaw,hatebert,bo,46,32,75,,1000.0,512,4,3,2e-05,0.01,,5314.445141127,,,,,,,,0 days 01:28:34.445141127
aw6dcu4k,main_strategies_reg_bo_bo_exploit-jigsaw-hatebert-bo-seed52,finished,jigsaw,hatebert,bo,52,32,75,8.0,1000.0,512,4,3,2e-05,0.01,0.5,9294.713060147,,,,,,,,0 days 02:34:54.713060147
lsniv3ex,main_strategies_reg_bo-jigsaw-hatebert-bo-seed47,finished,jigsaw,hatebert,bo,47,32,75,,1000.0,512,4,3,2e-05,0.01,,8193.705496,,,,,,,,0 days 02:16:33.705496
96k40wj1,main_strategies_reg_bo-jigsaw-hatebert-bo-seed48,finished,jigsaw,hatebert,bo,48,32,75,,1000.0,512,4,3,2e-05,0.01,,9439.503711595,,,,,,,,0 days 02:37:19.503711594
i0bx0sxi,main_strategies_reg_bo_bo_exploit-jigsaw-hatebert-bo-seed53,finished,jigsaw,hatebert,bo,53,32,75,8.0,1000.0,512,4,3,2e-05,0.01,0.5,9278.052488684,,,,,,,,0 days 02:34:38.052488684
xaki5jxf,main_strategies_reg_bo-jigsaw-hatebert-bo-seed49,finished,jigsaw,hatebert,bo,49,32,75,,1000.0,512,4,3,2e-05,0.01,,5714.529730452,,,,,,,,0 days 01:35:14.529730452
w95uz0u3,main_strategies_reg_bo_bo_exploit-jigsaw-hatebert-bo-seed54,finished,jigsaw,hatebert,bo,54,32,75,8.0,1000.0,512,4,3,2e-05,0.01,0.5,9267.449885002,,,,,,,,0 days 02:34:27.449885002
wfivoj1d,main_strategies_reg_bo-jigsaw-hatebert-bo-seed50,finished,jigsaw,hatebert,bo,50,32,75,,1000.0,512,4,3,2e-05,0.01,,9454.666106553,,,,,,,,0 days 02:37:34.666106553
6j2qwoki,main_strategies_reg_bo_bo_balanced-jigsaw-hatebert-bo-seed50,finished,jigsaw,hatebert,bo,50,32,75,8.0,1000.0,512,4,3,2e-05,0.01,0.5,9276.455150296,,,,,,,,0 days 02:34:36.455150296
3nrshrn6,main_strategies_reg_bo_bo_reg1.0_T32-jigsaw-hatebert-bo-seed40,crashed,jigsaw,hatebert,bo,40,32,75,8.0,1000.0,256,4,3,2e-05,0.01,1.0,81006.701712597,,,,,,,,0 days 22:30:06.701712597
zuz2y8b3,main_strategies_reg_bo_bo_reg1.0_T32_k8-jigsaw-hatebert-bo-seed50,finished,jigsaw,hatebert,bo,50,32,75,8.0,1000.0,1024,4,3,2e-05,0.01,1.0,2797.587890291,,,,,,,,0 days 00:46:37.587890291
qxdhlexp,main_strategies_reg_bo-jigsaw-hatebert-bo-seed51,finished,jigsaw,hatebert,bo,51,32,75,,1000.0,512,4,3,2e-05,0.01,,9430.804934744,,,,,,,,0 days 02:37:10.804934744
d6pvj53a,main_strategies_reg_bo_bo_reg1.0_T32_k8-jigsaw-hatebert-bo-seed51,finished,jigsaw,hatebert,bo,51,32,75,8.0,1000.0,1024,4,3,2e-05,0.01,1.0,4297.833010336,,,,,,,,0 days 01:11:37.833010336
w8ld744n,main_strategies_reg_bo_bo_balanced-jigsaw-hatebert-bo-seed51,finished,jigsaw,hatebert,bo,51,32,75,8.0,1000.0,512,4,3,2e-05,0.01,0.5,9266.531028446,,,,,,,,0 days 02:34:26.531028446
vesgw5wk,main_strategies_reg_bo_bo_reg1.0_T32_k8-jigsaw-hatebert-bo-seed52,finished,jigsaw,hatebert,bo,52,32,75,8.0,1000.0,1024,4,3,2e-05,0.01,1.0,3237.2378969,,,,,,,,0 days 00:53:57.237896900
01j6hrgd,main_strategies_reg_bo-jigsaw-hatebert-bo-seed52,finished,jigsaw,hatebert,bo,52,32,75,,1000.0,512,4,3,2e-05,0.01,,10517.830126998,,,,,,,,0 days 02:55:17.830126998
g7vydao8,main_strategies_reg_bo_bo_reg1.0_T32_k8-jigsaw-hatebert-bo-seed53,finished,jigsaw,hatebert,bo,53,32,75,8.0,1000.0,1024,4,3,2e-05,0.01,1.0,9626.018181071,,,,,,,,0 days 02:40:26.018181071
jk85itni,main_strategies_reg_bo_bo_balanced-jigsaw-hatebert-bo-seed52,finished,jigsaw,hatebert,bo,52,32,75,8.0,1000.0,512,4,3,2e-05,0.01,0.5,9396.290920822,,,,,,,,0 days 02:36:36.290920822
y2fx03iw,main_strategies_reg_bo-jigsaw-hatebert-bo-seed53,finished,jigsaw,hatebert,bo,53,32,75,,1000.0,512,4,3,2e-05,0.01,,6552.044055087,,,,,,,,0 days 01:49:12.044055087
mc25gwsc,main_strategies_reg_bo_bo_reg1.0_T32_k8-jigsaw-hatebert-bo-seed54,finished,jigsaw,hatebert,bo,54,32,75,8.0,1000.0,1024,4,3,2e-05,0.01,1.0,3828.454222385,,,,,,,,0 days 01:03:48.454222385
ltnbafkw,main_strategies_reg_bo_bo_balanced-jigsaw-hatebert-bo-seed53,finished,jigsaw,hatebert,bo,53,32,75,8.0,1000.0,512,4,3,2e-05,0.01,0.5,9373.296444668,,,,,,,,0 days 02:36:13.296444668
ib4blpid,main_strategies_reg_bo_bo_reg0.3_T32_k8-jigsaw-hatebert-bo-seed50,finished,jigsaw,hatebert,bo,50,32,75,8.0,1000.0,1024,4,3,2e-05,0.01,0.3,4755.204150384,,,,,,,,0 days 01:19:15.204150384
96i8j2ol,main_strategies_reg_bo-jigsaw-hatebert-bo-seed54,finished,jigsaw,hatebert,bo,54,32,75,,1000.0,512,4,3,2e-05,0.01,,5199.335652814,,,,,,,,0 days 01:26:39.335652814
zpgk0xml,main_strategies_reg_bo_bo_reg0.3_T32_k8-jigsaw-hatebert-bo-seed51,finished,jigsaw,hatebert,bo,51,32,75,8.0,1000.0,1024,4,3,2e-05,0.01,0.3,4142.698726716,,,,,,,,0 days 01:09:02.698726716
4uv839jk,main_strategies_reg_bo_bo_balanced-jigsaw-hatebert-bo-seed54,finished,jigsaw,hatebert,bo,54,32,75,8.0,1000.0,512,4,3,2e-05,0.01,0.5,8346.627866672,,,,,,,,0 days 02:19:06.627866672
1kcg3v16,main_strategies_reg_bo-jigsaw-hatebert-bo-seed55,finished,jigsaw,hatebert,bo,55,32,75,,1000.0,512,4,3,2e-05,0.01,,9495.973927142,,,,,,,,0 days 02:38:15.973927142
t2t66bnk,main_strategies_reg_bo_bo_reg0.3_T32_k8-jigsaw-hatebert-bo-seed52,finished,jigsaw,hatebert,bo,52,32,75,8.0,1000.0,1024,4,3,2e-05,0.01,0.3,3386.610167492,,,,,,,,0 days 00:56:26.610167492
srmph29h,main_strategies_reg_bo_bo_reg0.3_T32_k8-jigsaw-hatebert-bo-seed53,finished,jigsaw,hatebert,bo,53,32,75,8.0,1000.0,1024,4,3,2e-05,0.01,0.3,3395.234063704,,,,,,,,0 days 00:56:35.234063704
fpdedqcy,main_strategies_reg_bo_bo_explore-jigsaw-hatebert-bo-seed50,finished,jigsaw,hatebert,bo,50,32,75,8.0,1000.0,512,4,3,2e-05,0.01,0.5,5124.905173191,,,,,,,,0 days 01:25:24.905173191
vsuvp8et,main_strategies_reg_bo-jigsaw-hatebert-bo-seed56,finished,jigsaw,hatebert,bo,56,32,75,,1000.0,512,4,3,2e-05,0.01,,9433.841024278,,,,,,,,0 days 02:37:13.841024278
