t_size,delta_auc,abs_error_roc_auc_diff,seed,strategy,true_delta,pos_label
4,0.0,0.026496121653103222,5,bo,0.026496121653103222,professor
20,-0.25,0.2764961216531032,5,bo,0.026496121653103222,professor
36,-0.1875,0.21399612165310322,5,bo,0.026496121653103222,professor
52,-0.08659469185784974,0.11309081351095296,5,bo,0.026496121653103222,professor
68,-0.041212121212121255,0.06770824286522448,5,bo,0.026496121653103222,professor
84,-0.02692214406985205,0.05341826572295527,5,bo,0.026496121653103222,professor
100,-0.09321702655036002,0.11971314820346324,5,bo,0.026496121653103222,professor
116,-0.14021401243424214,0.16671013408734536,5,bo,0.026496121653103222,professor
132,-0.09887755102040818,0.1253736726735114,5,bo,0.026496121653103222,professor
148,-0.07963232419754163,0.10612844585064485,5,bo,0.026496121653103222,professor
164,-0.07689026580459768,0.1033863874577009,5,bo,0.026496121653103222,professor
180,-0.07063282819331207,0.09712894984641529,5,bo,0.026496121653103222,professor
196,-0.0375279049091507,0.06402402656225392,5,bo,0.026496121653103222,professor
212,-0.05738718629343609,0.08388330794653931,5,bo,0.026496121653103222,professor
228,-0.035810767861683135,0.06230688951478636,5,bo,0.026496121653103222,professor
244,-0.05500451496388037,0.08150063661698359,5,bo,0.026496121653103222,professor
260,-0.04200734394124861,0.06850346559435183,5,bo,0.026496121653103222,professor
276,-0.03337830166287614,0.059874423315979364,5,bo,0.026496121653103222,professor
292,-0.03712487472595272,0.06362099637905594,5,bo,0.026496121653103222,professor
308,-0.036927967160152564,0.06342408881325579,5,bo,0.026496121653103222,professor
324,-0.023150952296312477,0.0496470739494157,5,bo,0.026496121653103222,professor
340,-0.03765759652685563,0.06415371817995885,5,bo,0.026496121653103222,professor
356,-0.046944000170601186,0.07344012182370441,5,bo,0.026496121653103222,professor
372,-0.04317173140542174,0.06966785305852496,5,bo,0.026496121653103222,professor
388,-0.03150515509535823,0.05800127674846145,5,bo,0.026496121653103222,professor
404,-0.013672482963972055,0.040168604617075276,5,bo,0.026496121653103222,professor
420,-0.00020036429872505312,0.026696485951828275,5,bo,0.026496121653103222,professor
436,0.006797082853267522,0.0196990387998357,5,bo,0.026496121653103222,professor
452,0.011934781415558149,0.014561340237545073,5,bo,0.026496121653103222,professor
468,0.01018646062913231,0.01630966102397091,5,bo,0.026496121653103222,professor
484,0.018209826859023392,0.00828629479407983,5,bo,0.026496121653103222,professor
500,0.024271690862729067,0.0022244307903741545,5,bo,0.026496121653103222,professor
516,0.03227278130707378,0.005776659653970562,5,bo,0.026496121653103222,professor
532,0.02071254974718495,0.005783571905918272,5,bo,0.026496121653103222,professor
548,0.024309170741591446,0.002186950911511776,5,bo,0.026496121653103222,professor
564,0.023924760273650425,0.0025713613794527967,5,bo,0.026496121653103222,professor
580,0.022209392919471438,0.004286728733631784,5,bo,0.026496121653103222,professor
596,0.017490192815423078,0.009005928837680144,5,bo,0.026496121653103222,professor
612,0.022396315301792535,0.004099806351310686,5,bo,0.026496121653103222,professor
628,0.023996059823001792,0.00250006183010143,5,bo,0.026496121653103222,professor
