t_size,delta_auc,abs_error_roc_auc_diff,seed,strategy,true_delta
36,0.07063492063492072,0.07211255223352253,11,bo,0.14274747286844325
52,-0.05740740740740735,0.2001548802758506,11,bo,0.14274747286844325
68,0.034466374269005895,0.10828109859943735,11,bo,0.14274747286844325
84,0.08350389863547752,0.05924357423296572,11,bo,0.14274747286844325
100,0.0970459138562586,0.045701559012184645,11,bo,0.14274747286844325
116,0.07024572649572647,0.07250174637271678,11,bo,0.14274747286844325
132,-0.023242053998632994,0.16598952686707624,11,bo,0.14274747286844325
148,-0.036347603014269536,0.17909507588271278,11,bo,0.14274747286844325
164,0.029924381208272344,0.1128230916601709,11,bo,0.14274747286844325
180,0.024508643144683928,0.11823882972375932,11,bo,0.14274747286844325
196,0.04036569350934449,0.10238177935909876,11,bo,0.14274747286844325
212,0.012238213399503706,0.13050925946893954,11,bo,0.14274747286844325
228,0.032543862786829525,0.11020361008161372,11,bo,0.14274747286844325
244,0.05400498170158474,0.0887424911668585,11,bo,0.14274747286844325
260,0.06007389601139601,0.08267357685704724,11,bo,0.14274747286844325
276,0.08274067480654301,0.060006798061900235,11,bo,0.14274747286844325
292,0.08131384973490241,0.06143362313354084,11,bo,0.14274747286844325
308,0.04291651849217637,0.09983095437626688,11,bo,0.14274747286844325
324,0.06823522720629616,0.07451224566214709,11,bo,0.14274747286844325
340,0.07785642160427453,0.06489105126416872,11,bo,0.14274747286844325
356,0.10209878743326439,0.040648685435178855,11,bo,0.14274747286844325
372,0.10032737946331782,0.042420093405125425,11,bo,0.14274747286844325
388,0.11159632331286107,0.03115114955558218,11,bo,0.14274747286844325
404,0.10295138888888888,0.039796083979554364,11,bo,0.14274747286844325
420,0.12787253963379763,0.014874933234645615,11,bo,0.14274747286844325
436,0.11756502649009737,0.02518244637834588,11,bo,0.14274747286844325
452,0.14504324088625642,0.002295768017813171,11,bo,0.14274747286844325
468,0.12795730183162213,0.01479017103682112,11,bo,0.14274747286844325
484,0.1306446920083283,0.012102780860114959,11,bo,0.14274747286844325
500,0.1224628346351857,0.020284638233257546,11,bo,0.14274747286844325
516,0.1431506157521406,0.0004031428836973605,11,bo,0.14274747286844325
532,0.14356004390060106,0.0008125710321578161,11,bo,0.14274747286844325
548,0.13543281829035725,0.0073146545780859995,11,bo,0.14274747286844325
564,0.13125644028103045,0.011491032587412797,11,bo,0.14274747286844325
580,0.13453212540383597,0.008215347464607281,11,bo,0.14274747286844325
596,0.1378189300411523,0.004928542827290938,11,bo,0.14274747286844325
612,0.13669820205158234,0.006049270816860908,11,bo,0.14274747286844325
628,0.14451544038436404,0.0017679675159207875,11,bo,0.14274747286844325
644,0.13991692395242017,0.002830548916023079,11,bo,0.14274747286844325
660,0.1418607692627064,0.0008867036057368383,11,bo,0.14274747286844325
676,0.13028267321847775,0.012464799649965497,11,bo,0.14274747286844325
692,0.1350805198895192,0.007666952978924058,11,bo,0.14274747286844325
