t_size,delta_auc,abs_error_roc_auc_diff,seed,strategy,true_delta
20,0.4444444444444444,0.29031522155476874,0,random,0.15412922288967568
36,0.3508771929824562,0.1967479700927805,0,random,0.15412922288967568
52,0.22486772486772488,0.0707385019780492,0,random,0.15412922288967568
68,0.2212121212121212,0.06708289832244552,0,random,0.15412922288967568
84,0.2891304347826086,0.1350012118929329,0,random,0.15412922288967568
100,0.24426843317972347,0.09013921029004779,0,random,0.15412922288967568
116,0.32154366580596083,0.16741444291628516,0,random,0.15412922288967568
132,0.28402597402597407,0.1298967511362984,0,random,0.15412922288967568
148,0.2631693703122273,0.10904014742255164,0,random,0.15412922288967568
164,0.2554225730696319,0.10129335017995622,0,random,0.15412922288967568
180,0.26867245154488684,0.11454322865521116,0,random,0.15412922288967568
196,0.2590716575091574,0.10494243461948172,0,random,0.15412922288967568
212,0.26152902262057187,0.1073997997308962,0,random,0.15412922288967568
228,0.2307535193564605,0.07662429646678481,0,random,0.15412922288967568
244,0.15890613451589064,0.004776911626214964,0,random,0.15412922288967568
260,0.1157647584973166,0.03836446439235908,0,random,0.15412922288967568
276,0.12401058201058213,0.03011864087909355,0,random,0.15412922288967568
292,0.11164832410873304,0.04248089878094263,0,random,0.15412922288967568
308,0.08389714581484764,0.07023207707482804,0,random,0.15412922288967568
324,0.08989856586148315,0.06423065702819253,0,random,0.15412922288967568
340,0.09620445198585015,0.05792477090382553,0,random,0.15412922288967568
356,0.06213482986532626,0.09199439302434942,0,random,0.15412922288967568
372,0.0567471819645734,0.09738204092510228,0,random,0.15412922288967568
388,0.054428526019435264,0.09970069687024041,0,random,0.15412922288967568
404,0.06794336340698837,0.08618585948268731,0,random,0.15412922288967568
420,0.06921691146911091,0.08491231142056477,0,random,0.15412922288967568
436,0.07669016546057983,0.07743905742909585,0,random,0.15412922288967568
452,0.06688895051768196,0.08724027237199372,0,random,0.15412922288967568
468,0.07940512242837816,0.07472410046129752,0,random,0.15412922288967568
484,0.0954337326033613,0.05869549028631438,0,random,0.15412922288967568
