t_size,delta_auc,abs_error_roc_auc_diff,seed,strategy,true_delta
20,0.19999999999999996,0.04423350723972397,0,stratified,0.155766492760276
36,0.17500000000000004,0.019233507239724057,0,stratified,0.155766492760276
52,0.18898550724637675,0.03321901448610076,0,stratified,0.155766492760276
68,0.31373889268626115,0.15797239992598516,0,stratified,0.155766492760276
84,0.30245169464681654,0.14668520188654055,0,stratified,0.155766492760276
100,0.2404255319148937,0.0846590391546177,0,stratified,0.155766492760276
116,0.22829249432120247,0.07252600156092648,0,stratified,0.155766492760276
132,0.2717923540193768,0.1160258612591008,0,stratified,0.155766492760276
148,0.2359599965043368,0.08019350374406081,0,stratified,0.155766492760276
164,0.24587733694876557,0.09011084418848958,0,stratified,0.155766492760276
180,0.26544593657441723,0.10967944381414124,0,stratified,0.155766492760276
196,0.23212334733037782,0.07635685457010183,0,stratified,0.155766492760276
212,0.2515867686242228,0.09582027586394681,0,stratified,0.155766492760276
228,0.2625343040529814,0.1067678112927054,0,stratified,0.155766492760276
244,0.23770516569200772,0.08193867293173174,0,stratified,0.155766492760276
260,0.24212880438370638,0.08636231162343039,0,stratified,0.155766492760276
276,0.21164003861845593,0.05587354585817994,0,stratified,0.155766492760276
292,0.19818533243847192,0.04241883967819593,0,stratified,0.155766492760276
308,0.2266918404809718,0.07092534772069581,0,stratified,0.155766492760276
324,0.23823158245630732,0.08246508969603134,0,stratified,0.155766492760276
340,0.23405288752384945,0.07828639476357346,0,stratified,0.155766492760276
356,0.22489177489177486,0.06912528213149888,0,stratified,0.155766492760276
372,0.21677270098322737,0.061006208222951386,0,stratified,0.155766492760276
388,0.21445097781996175,0.058684485059685765,0,stratified,0.155766492760276
404,0.21590857290857296,0.06014208014829697,0,stratified,0.155766492760276
420,0.20830705991256449,0.0525405671522885,0,stratified,0.155766492760276
436,0.17100950259084846,0.015243009830572474,0,stratified,0.155766492760276
452,0.15354497354497354,0.0022215192153024477,0,stratified,0.155766492760276
468,0.14139827354711842,0.014368219213157563,0,stratified,0.155766492760276
484,0.14608519598315517,0.009681296777120818,0,stratified,0.155766492760276
500,0.1545863557303827,0.00118013702989328,0,stratified,0.155766492760276
516,0.14380706660389753,0.011959426156378461,0,stratified,0.155766492760276
532,0.15142694857884742,0.004339544181428567,0,stratified,0.155766492760276
548,0.15475532800872982,0.0010111647515461675,0,stratified,0.155766492760276
564,0.16698970221697496,0.011223209456698968,0,stratified,0.155766492760276
580,0.16969357261604978,0.013927079855773794,0,stratified,0.155766492760276
596,0.16754398887663557,0.011777496116359587,0,stratified,0.155766492760276
612,0.16375388681131497,0.007987394051038987,0,stratified,0.155766492760276
628,0.164910566499327,0.009144073739051017,0,stratified,0.155766492760276
644,0.17260033381754147,0.016833841057265486,0,stratified,0.155766492760276
660,0.17614289209218448,0.02037639933190849,0,stratified,0.155766492760276
676,0.16201417165769372,0.00624767889741773,0,stratified,0.155766492760276
692,0.1721065213356483,0.016340028575372312,0,stratified,0.155766492760276
708,0.16913014927179626,0.013363656511520272,0,stratified,0.155766492760276
724,0.16493978432909961,0.009173291568823627,0,stratified,0.155766492760276
740,0.18275119838923015,0.026984705628954164,0,stratified,0.155766492760276
756,0.18735205935076304,0.03158556659048706,0,stratified,0.155766492760276
772,0.17482350960395043,0.019057016843674446,0,stratified,0.155766492760276
788,0.17057184763273137,0.014805354872455379,0,stratified,0.155766492760276
804,0.1704947731304588,0.014728280370182811,0,stratified,0.155766492760276
820,0.17566215467852864,0.01989566191825265,0,stratified,0.155766492760276
836,0.16958283068967694,0.013816337929400957,0,stratified,0.155766492760276
852,0.16111832954123706,0.005351836780961072,0,stratified,0.155766492760276
868,0.17455292960795044,0.018786436847674448,0,stratified,0.155766492760276
884,0.1803462574413892,0.024579764681113225,0,stratified,0.155766492760276
900,0.18509341602924745,0.02932692326897146,0,stratified,0.155766492760276
916,0.19445750853159627,0.03869101577132028,0,stratified,0.155766492760276
932,0.20177449466468467,0.04600800190440868,0,stratified,0.155766492760276
948,0.1998833301981594,0.044116837437883416,0,stratified,0.155766492760276
964,0.20272565212320948,0.04695915936293349,0,stratified,0.155766492760276
980,0.20131726043141773,0.045550767671141745,0,stratified,0.155766492760276
996,0.20309130059898717,0.04732480783871118,0,stratified,0.155766492760276
1012,0.20184758919152535,0.04608109643124936,0,stratified,0.155766492760276
1028,0.20244556155795645,0.04667906879768047,0,stratified,0.155766492760276
1044,0.20433973542904849,0.0485732426687725,0,stratified,0.155766492760276
1060,0.2018119641902093,0.046045471429933316,0,stratified,0.155766492760276
1076,0.2071510906592312,0.05138459789895522,0,stratified,0.155766492760276
1092,0.20729753824405872,0.051531045483782734,0,stratified,0.155766492760276
1108,0.21135903180104731,0.05559253904077133,0,stratified,0.155766492760276
1124,0.2121487659347926,0.056382273174516606,0,stratified,0.155766492760276
1140,0.20720925791035216,0.051442765150076175,0,stratified,0.155766492760276
1156,0.20671851897912075,0.05095202621884476,0,stratified,0.155766492760276
1172,0.2059722453588021,0.05020575259852611,0,stratified,0.155766492760276
1188,0.21028823491310888,0.0545217421528329,0,stratified,0.155766492760276
1204,0.1995578680620882,0.04379137530181221,0,stratified,0.155766492760276
1220,0.2034696824532768,0.0477031896930008,0,stratified,0.155766492760276
1236,0.19472058367369316,0.03895409091341717,0,stratified,0.155766492760276
1252,0.19809283927152443,0.04232634651124845,0,stratified,0.155766492760276
1268,0.1956877871762739,0.0399212944159979,0,stratified,0.155766492760276
1284,0.19693034937373077,0.041163856613454786,0,stratified,0.155766492760276
1300,0.19977726461061518,0.04401077185033919,0,stratified,0.155766492760276
1316,0.2010219640251985,0.04525547126492252,0,stratified,0.155766492760276
1332,0.19681836241183925,0.041051869651563266,0,stratified,0.155766492760276
1348,0.19399452134464668,0.03822802858437069,0,stratified,0.155766492760276
1364,0.19127417289882032,0.03550768013854433,0,stratified,0.155766492760276
1380,0.19756512429624828,0.0417986315359723,0,stratified,0.155766492760276
