t_size,delta_auc,abs_error_roc_auc_diff,seed,strategy,true_delta
20,-0.30000000000000004,0.4507511486554031,6,stratified,0.15075114865540307
36,-0.13034188034188032,0.2810930289972834,6,stratified,0.15075114865540307
52,0.03900375939849621,0.11174738925690686,6,stratified,0.15075114865540307
68,0.06537037037037041,0.08538077828503265,6,stratified,0.15075114865540307
84,-0.03951833607006028,0.19026948472546334,6,stratified,0.15075114865540307
100,-0.023779574722970875,0.17453072337837394,6,stratified,0.15075114865540307
116,0.024254742547425434,0.12649640610797763,6,stratified,0.15075114865540307
132,-0.013718640838361384,0.16446978949376445,6,stratified,0.15075114865540307
148,0.07681888544891635,0.07393226320648671,6,stratified,0.15075114865540307
164,0.16994949494949507,0.019198346294092006,6,stratified,0.15075114865540307
180,0.20001973046469534,0.04926858180929228,6,stratified,0.15075114865540307
196,0.2541434410999629,0.10339229244455983,6,stratified,0.15075114865540307
212,0.22310492162584805,0.07235377297044499,6,stratified,0.15075114865540307
228,0.21710955710955715,0.06635840845415408,6,stratified,0.15075114865540307
244,0.2322020202020202,0.08145087154661712,6,stratified,0.15075114865540307
260,0.2319531986284431,0.08120204997304004,6,stratified,0.15075114865540307
276,0.2294695192853371,0.07871837062993403,6,stratified,0.15075114865540307
292,0.2124936260821355,0.061742477426732445,6,stratified,0.15075114865540307
308,0.2059375,0.05518635134459693,6,stratified,0.15075114865540307
324,0.21097827239294298,0.06022712373753991,6,stratified,0.15075114865540307
340,0.21322547846971274,0.06247432981430967,6,stratified,0.15075114865540307
356,0.21882563438861963,0.06807448573321656,6,stratified,0.15075114865540307
372,0.224498549419768,0.07374740076436492,6,stratified,0.15075114865540307
388,0.22834078169974248,0.07758963304433941,6,stratified,0.15075114865540307
404,0.23421673496177248,0.08346558630636941,6,stratified,0.15075114865540307
420,0.2275758047555972,0.07682465610019412,6,stratified,0.15075114865540307
436,0.22422311862381028,0.07347196996840721,6,stratified,0.15075114865540307
452,0.236524091070487,0.08577294241508393,6,stratified,0.15075114865540307
468,0.24664249765056218,0.09589134899515911,6,stratified,0.15075114865540307
484,0.21905241083502364,0.06830126217962057,6,stratified,0.15075114865540307
500,0.20664257288070575,0.05589142422530269,6,stratified,0.15075114865540307
516,0.18088167378318226,0.030130525127779195,6,stratified,0.15075114865540307
532,0.18147055984742316,0.030719411192020096,6,stratified,0.15075114865540307
548,0.1820629692256891,0.03131182057028603,6,stratified,0.15075114865540307
564,0.18634735921858414,0.035596210563181074,6,stratified,0.15075114865540307
580,0.20892412041031538,0.05817297175491232,6,stratified,0.15075114865540307
596,0.2075069285595602,0.056755779904157144,6,stratified,0.15075114865540307
612,0.20782821498269533,0.05707706632729226,6,stratified,0.15075114865540307
628,0.20852919683419346,0.0577780481787904,6,stratified,0.15075114865540307
644,0.21491134483550217,0.0641601961800991,6,stratified,0.15075114865540307
660,0.2202265040992888,0.06947535544388572,6,stratified,0.15075114865540307
676,0.20829682762048346,0.057545678965080393,6,stratified,0.15075114865540307
692,0.20816517255463934,0.05741402389923628,6,stratified,0.15075114865540307
708,0.20764325179996834,0.056892103144565276,6,stratified,0.15075114865540307
724,0.20722136247727252,0.05647021382186945,6,stratified,0.15075114865540307
740,0.20360156682632108,0.05285041817091801,6,stratified,0.15075114865540307
756,0.19479088845142212,0.04403973979601905,6,stratified,0.15075114865540307
