strategy,n_replicates,auec_mean,auec_std,error_at_250_mean,error_at_250_std,epsilon,mean_crossing_T,queries_to_0.02_mean,queries_to_0.02_std,queries_to_0.02_n_reached,queries_to_0.05_mean,queries_to_0.05_std,queries_to_0.05_n_reached
bafa:bo,18,0.034113463290055455,0.011544158468228809,0.021583690245253848,0.009488616754533856,0.02,356.0,116.0,140.50069197140792,18.0,,,
bafa:bo,18,0.034113463290055455,0.011544158468228809,0.021583690245253848,0.009488616754533856,0.05,180.0,,,,47.55555555555556,15.826216724235428,18.0
bafa:disagreement,18,0.03194118507853125,0.006657940070172786,0.02160215893060754,0.009519333999774197,0.02,340.0,96.23529411764706,56.64287444077582,17.0,,,
bafa:disagreement,18,0.03194118507853125,0.006657940070172786,0.02160215893060754,0.009519333999774197,0.05,148.0,,,,59.529411764705884,38.46177269026362,17.0
baseline:bo,20,0.03515732462771415,0.008861710552121439,0.0231528649148821,0.01971312860537534,0.02,772.0,108.8,93.49737964242635,20.0,,,
baseline:bo,20,0.03515732462771415,0.008861710552121439,0.0231528649148821,0.01971312860537534,0.05,100.0,,,,86.4,70.34088427081366,20.0
baseline:power,20,0.0450820174410779,0.015374891626303925,0.0648390402182169,0.04191970741942636,0.02,5396.0,168.8,157.427316562279,20.0,,,
baseline:power,20,0.0450820174410779,0.015374891626303925,0.0648390402182169,0.04191970741942636,0.05,356.0,,,,100.0,78.70959280799259,20.0
baseline:stratified,20,0.04211529527257349,0.015907627699960635,0.043321414839020043,0.03172024450875337,0.02,1748.0,200.0,254.53958434789666,20.0,,,
baseline:stratified,20,0.04211529527257349,0.015907627699960635,0.043321414839020043,0.03172024450875337,0.05,212.0,,,,124.0,174.50272204180655,20.0
