strategy,n_replicates,auec_mean,auec_std,auec_median,auec_iqr,auec_min,auec_max,auec_ci_low,auec_ci_high,error_at_250_mean,error_at_250_std,error_at_250_median,error_at_250_iqr,error_at_250_min,error_at_250_max,error_at_250_ci_low,error_at_250_ci_high,epsilon,mean_crossing_T,queries_to_0.02_mean,queries_to_0.02_std,queries_to_0.02_median,queries_to_0.02_iqr,queries_to_0.02_min,queries_to_0.02_max,queries_to_0.02_ci_low,queries_to_0.02_ci_high,queries_to_0.02_n_reached,queries_to_0.05_mean,queries_to_0.05_std,queries_to_0.05_median,queries_to_0.05_iqr,queries_to_0.05_min,queries_to_0.05_max,queries_to_0.05_ci_low,queries_to_0.05_ci_high,queries_to_0.05_n_reached
bafa:bo,20,0.03142421233299897,0.013942144710307094,0.027889076368645103,0.013527359554067593,0.012055092103629105,0.0686459928940567,0.024899087752184114,0.03794933691381382,0.021463007730555827,0.01694565481608024,0.018401095545829405,0.01993667064650404,0.0020070566780246374,0.05983605580437511,0.013036131842599032,0.029889883618512622,0.02,256.0,168.88888888888889,87.63083588950188,148.0,94.0,64.0,388.0,125.31109941934292,212.46667835843485,18.0,,,,,,,,,
bafa:bo,20,0.03142421233299897,0.013942144710307094,0.027889076368645103,0.013527359554067593,0.012055092103629105,0.0686459928940567,0.024899087752184114,0.03794933691381382,0.021463007730555827,0.01694565481608024,0.018401095545829405,0.01993667064650404,0.0020070566780246374,0.05983605580437511,0.013036131842599032,0.029889883618512622,0.05,132.0,,,,,,,,,,129.0,47.64562165779658,122.0,51.0,64.0,244.0,106.70116266131876,151.29883733868124,20.0
bafa:disagreement,20,0.02633885227810063,0.009461915341220059,0.025518114026341323,0.011079402710499654,0.012219889255729059,0.05188210318017456,0.02191053958608409,0.030767164970117167,0.020271704748183815,0.012181375030758616,0.019308432363578175,0.016867107991573767,0.004387514644796975,0.04695013282100986,0.014570645743785016,0.025972763752582614,0.02,144.0,113.4,35.736462287726596,116.0,64.0,52.0,180.0,96.67482081486216,130.12517918513785,20.0,,,,,,,,,
bafa:disagreement,20,0.02633885227810063,0.009461915341220059,0.025518114026341323,0.011079402710499654,0.012219889255729059,0.05188210318017456,0.02191053958608409,0.030767164970117167,0.020271704748183815,0.012181375030758616,0.019308432363578175,0.016867107991573767,0.004387514644796975,0.04695013282100986,0.014570645743785016,0.025972763752582614,0.05,80.0,,,,,,,,,,87.0,30.40429332564036,80.0,49.0,48.0,132.0,72.77035270658361,101.22964729341639,20.0
baseline:bo,20,0.059739207977102006,0.024166795260594225,0.05372856629395875,0.03325352857860989,0.026209486345994806,0.11113212093577768,0.04842879963814352,0.0710496163160605,0.09636716966958098,0.07317260573162576,0.08831483622492654,0.044275927580582304,0.006031437722561124,0.3209285423255071,0.06212133603189608,0.13061300330726588,0.02,1204.0,216.8,299.15699099830164,84.0,272.0,36.0,1332.0,76.79021843156366,356.8097815684364,20.0,,,,,,,,,
baseline:bo,20,0.059739207977102006,0.024166795260594225,0.05372856629395875,0.03325352857860989,0.026209486345994806,0.11113212093577768,0.04842879963814352,0.0710496163160605,0.09636716966958098,0.07317260573162576,0.08831483622492654,0.044275927580582304,0.006031437722561124,0.3209285423255071,0.06212133603189608,0.13061300330726588,0.05,356.0,,,,,,,,,,104.0,108.50175841407994,60.0,52.0,36.0,420.0,53.21961394031796,154.78038605968203,20.0
baseline:power,20,0.09337469155552333,0.04117093381242916,0.09091175751701548,0.04975643771342536,0.03827713334437264,0.20148469696170287,0.07410610140554592,0.11264328170550074,0.10755242445075888,0.057830712762549974,0.10432173209452467,0.08876171600968341,0.03354040453178965,0.21510486949474855,0.08048681774435378,0.13461803115716398,0.02,8436.0,1404.8,2641.709048085508,332.0,520.0,36.0,8884.0,168.44210792615695,2641.157892073843,20.0,,,,,,,,,
baseline:power,20,0.09337469155552333,0.04117093381242916,0.09091175751701548,0.04975643771342536,0.03827713334437264,0.20148469696170287,0.07410610140554592,0.11264328170550074,0.10755242445075888,0.057830712762549974,0.10432173209452467,0.08876171600968341,0.03354040453178965,0.21510486949474855,0.08048681774435378,0.13461803115716398,0.05,932.0,,,,,,,,,,471.2,1283.2653087462386,92.0,228.0,36.0,5844.0,-129.38665175213265,1071.7866517521327,20.0
baseline:stratified,20,0.06631631398415967,0.020562004188119116,0.06332446847367734,0.025820004632218355,0.030756497690221738,0.10430427276204836,0.056692999799253414,0.07593962816906594,0.06439398011679352,0.038958028228743,0.0642856465130408,0.058155430973088784,0.010530117698323375,0.15078292153620904,0.04616106166002829,0.08262689857355876,0.02,5956.0,277.6842105263158,274.8553261124799,164.0,176.0,36.0,1092.0,145.20818389967616,410.1602371529554,19.0,,,,,,,,,
baseline:stratified,20,0.06631631398415967,0.020562004188119116,0.06332446847367734,0.025820004632218355,0.030756497690221738,0.10430427276204836,0.056692999799253414,0.07593962816906594,0.06439398011679352,0.038958028228743,0.0642856465130408,0.058155430973088784,0.010530117698323375,0.15078292153620904,0.04616106166002829,0.08262689857355876,0.05,452.0,,,,,,,,,,166.4,197.1433889063331,108.0,100.0,36.0,900.0,74.13405386139317,258.66594613860684,20.0
