strategy,n_replicates,auec_mean,auec_std,auec_median,auec_iqr,auec_min,auec_max,auec_ci_low,auec_ci_high,error_at_250_mean,error_at_250_std,error_at_250_median,error_at_250_iqr,error_at_250_min,error_at_250_max,error_at_250_ci_low,error_at_250_ci_high,epsilon,mean_crossing_T,queries_to_0.02_mean,queries_to_0.02_std,queries_to_0.02_median,queries_to_0.02_iqr,queries_to_0.02_min,queries_to_0.02_max,queries_to_0.02_ci_low,queries_to_0.02_ci_high,queries_to_0.02_n_reached,queries_to_0.05_mean,queries_to_0.05_std,queries_to_0.05_median,queries_to_0.05_iqr,queries_to_0.05_min,queries_to_0.05_max,queries_to_0.05_ci_low,queries_to_0.05_ci_high,queries_to_0.05_n_reached
bafa:bo,18,0.034113463290055455,0.011878841063772917,0.031092822225240044,0.012208562722813104,0.020378467305447772,0.06902334276132921,0.028206254603012584,0.04002067197709833,0.021583690245253848,0.009763706090172361,0.021923685031598986,0.010768583430877237,0.008966976266306426,0.046726770602489684,0.016728313435011334,0.02643906705549636,0.02,356.0,116.0,144.57401930783942,60.0,108.0,36.0,628.0,44.105031611163,187.89496838883701,18.0,,,,,,,,,
bafa:bo,18,0.034113463290055455,0.011878841063772917,0.031092822225240044,0.012208562722813104,0.020378467305447772,0.06902334276132921,0.028206254603012584,0.04002067197709833,0.021583690245253848,0.009763706090172361,0.021923685031598986,0.010768583430877237,0.008966976266306426,0.046726770602489684,0.016728313435011334,0.02643906705549636,0.05,180.0,,,,,,,,,,47.55555555555556,16.28504265819052,36.0,28.0,36.0,84.0,39.457194365026055,55.65391674608506,18.0
bafa:disagreement,18,0.03194118507853125,0.006850963811989493,0.03226328461754424,0.010213432577262802,0.01947264840966207,0.04385176618100301,0.028534280926221064,0.03534808923084143,0.02160215893060754,0.009812304891650614,0.024782280127257975,0.01583221781315709,0.0048938443428303,0.03365632267366486,0.016557137282813526,0.026647180578401552,0.02,340.0,96.23529411764706,58.386138564479396,84.0,64.0,36.0,228.0,66.2159116951193,126.25467654017481,17.0,,,,,,,,,
bafa:disagreement,18,0.03194118507853125,0.006850963811989493,0.03226328461754424,0.010213432577262802,0.01947264840966207,0.04385176618100301,0.028534280926221064,0.03534808923084143,0.02160215893060754,0.009812304891650614,0.024782280127257975,0.01583221781315709,0.0048938443428303,0.03365632267366486,0.016557137282813526,0.026647180578401552,0.05,148.0,,,,,,,,,,59.529411764705884,39.64548783761341,36.0,32.0,36.0,180.0,39.14558282882493,79.91324070058684,17.0
baseline:bo,20,0.03515732462771415,0.009091923188921176,0.03342465824436244,0.010306198589083958,0.0202232494410167,0.05543559314364783,0.030902173593235792,0.039412475662192505,0.0231528649148821,0.020225243200985704,0.0126237455175516,0.029118077546548764,0.001731120964824125,0.07662669748349661,0.013687159723474467,0.03261857010628973,0.02,772.0,108.8,95.92628748981663,84.0,104.0,36.0,436.0,63.905115500387886,153.6948844996121,20.0,,,,,,,,,
baseline:bo,20,0.03515732462771415,0.009091923188921176,0.03342465824436244,0.010306198589083958,0.0202232494410167,0.05543559314364783,0.030902173593235792,0.039412475662192505,0.0231528649148821,0.020225243200985704,0.0126237455175516,0.029118077546548764,0.001731120964824125,0.07662669748349661,0.013687159723474467,0.03261857010628973,0.05,100.0,,,,,,,,,,86.4,72.16822452838194,60.0,64.0,36.0,324.0,52.62423123497059,120.17576876502943,20.0
baseline:power,20,0.0450820174410779,0.015774305974243136,0.04298309987011785,0.01377829516374425,0.014869694391024339,0.08915574867048946,0.03769941499385646,0.052464619888299334,0.0648390402182169,0.043008712338074864,0.05287852779630929,0.06380498510808956,0.008162553806309675,0.15818623029785683,0.04471034324242816,0.08496773719400565,0.02,5396.0,168.8,161.5170188197549,100.0,180.0,36.0,532.0,93.20770831035908,244.39229168964096,20.0,,,,,,,,,
baseline:power,20,0.0450820174410779,0.015774305974243136,0.04298309987011785,0.01377829516374425,0.014869694391024339,0.08915574867048946,0.03769941499385646,0.052464619888299334,0.0648390402182169,0.043008712338074864,0.05287852779630929,0.06380498510808956,0.008162553806309675,0.15818623029785683,0.04471034324242816,0.08496773719400565,0.05,356.0,,,,,,,,,,100.0,80.75433832243775,76.0,52.0,36.0,324.0,62.20580628419175,137.79419371580826,20.0
baseline:stratified,20,0.04211529527257349,0.01632088165318976,0.04496008976790782,0.02104760015048833,0.015243630007601183,0.07697594154984087,0.03447688753340629,0.04975370301174069,0.043321414839020043,0.03254428418882894,0.035990458493428246,0.03410477300280925,0.006762487839729238,0.13396018895584588,0.028090220992024427,0.05855260868601566,0.02,1748.0,200.0,261.1521032896951,124.0,164.0,52.0,1172.0,77.77705339356248,322.2229466064375,20.0,,,,,,,,,
baseline:stratified,20,0.04211529527257349,0.01632088165318976,0.04496008976790782,0.02104760015048833,0.015243630007601183,0.07697594154984087,0.03447688753340629,0.04975370301174069,0.043321414839020043,0.03254428418882894,0.035990458493428246,0.03410477300280925,0.006762487839729238,0.13396018895584588,0.028090220992024427,0.05855260868601566,0.05,212.0,,,,,,,,,,124.0,179.0360151948264,68.0,52.0,36.0,788.0,40.208565620807434,207.79143437919257,20.0
